desger_id;uge_id;dtini_verif;tpestoper_id;panocr_id;ogresdes_id;valdisp;numons;coment;cmn_agente;dat_ultimaconsolidacao;age_id;etval_id;din_disponevento;flg_eventoconsistido;dtini_prog;flcmop;reg_id;usi_id
2359653;ALUXG-0UG1;01/08/2014 00:00;LIG;NOR;;527;COSR-NE 39830/2014;;[Consistido edmilson (CHF) 05/08/2014 16:52];15/09/2014;CHF;AGE;05/08/2014 14:40;3;;O;;
2367089;ALUXG-0UG1;18/08/2014 09:58;DCO;NOR;;527;COSR-NE 41863/2014;;[Consistido edmilson (CHF) 20/08/2014 18:07];15/09/2014;CHF;AGE;19/08/2014 13:10;2;;O;;
2370529;ALUXG-0UG1;22/08/2014 04:42;LIG;NOR;;527;COSR-NE 42264/2014;;[Consistido edmilson (CHF) 27/08/2014 10:51];15/09/2014;CHF;AGE;26/08/2014 11:16;2;;O;;
2371487;ALUXG-0UG1;26/08/2014 09:41;DCO;NOR;;527;COSR-NE 42754/2014;;[Consistido edmilson (CHF) 27/08/2014 14:24];15/09/2014;CHF;AGE;27/08/2014 13:59;2;;O;;
2372726;ALUXG-0UG1;28/08/2014 07:59;LIG;NOR;;527;COSR-NE 42880/2014;;[Consistido edmilson (CHF) 03/09/2014 09:17];15/09/2014;CHF;AGE;29/08/2014 13:28;2;;O;;
2359654;ALUXG-0UG2;01/08/2014 00:00;DAU;;GUM;0;COSR-NE 39831/2014;;[Consistido edmilson (CHF) 05/08/2014 16:52];15/09/2014;CHF;AGE;05/08/2014 14:40;3;;O;;
2359655;ALUXG-0UG3;01/08/2014 00:00;DPR;;GUM;0;COSR-NE 39832/2014;Manutenção Preventiva da Revisão das 50.000 horas.  SI-17990/14.;[Consistido edmilson (CHF) 05/08/2014 16:52];15/09/2014;CHF;AGE;05/08/2014 14:40;3;;O;;
2366716;ALUXG-0UG3;15/08/2014 10:58;LIG;TST;;527;COSR-NE 41442/2014;Em operação normal, após conclusão das SI´s 37681 e 17990.;[Consistido edmilson (CHF) 20/08/2014 18:07];15/09/2014;CHF;AGE;19/08/2014 13:10;2;;O;;
2366717;ALUXG-0UG3;15/08/2014 11:03;LIG;NOT;;527;COSR-NE 41443/2014;;[Consistido edmilson (CHF) 20/08/2014 18:07];15/09/2014;CHF;AGE;19/08/2014 13:10;2;;O;;
2366718;ALUXG-0UG3;15/08/2014 15:03;LIG;NOR;;527;COSR-NE 41444/2014;;[Consistido edmilson (CHF) 20/08/2014 18:07];15/09/2014;CHF;AGE;19/08/2014 13:10;2;;O;;
2366719;ALUXG-0UG3;15/08/2014 16:14;DCO;NOR;;527;COSR-NE 41445/2014;;[Consistido edmilson (CHF) 20/08/2014 18:07];15/09/2014;CHF;AGE;19/08/2014 13:10;2;;O;;
2367090;ALUXG-0UG3;18/08/2014 09:28;LIG;NOR;;527;COSR-NE 41864/2014;;[Consistido edmilson (CHF) 20/08/2014 18:07];15/09/2014;CHF;AGE;19/08/2014 13:10;2;;O;;
2370530;ALUXG-0UG3;22/08/2014 13:54;DCO;NOR;;527;COSR-NE 42265/2014;;[Consistido edmilson (CHF) 27/08/2014 10:51];15/09/2014;CHF;AGE;26/08/2014 11:16;2;;O;;
2371488;ALUXG-0UG3;26/08/2014 09:24;LIG;NOR;;527;COSR-NE 42755/2014;;[Consistido edmilson (CHF) 27/08/2014 14:24];15/09/2014;CHF;AGE;27/08/2014 13:59;2;;O;;
2359656;ALUXG-0UG4;01/08/2014 00:00;DCO;NOR;;527;COSR-NE 39833/2014;;[Consistido edmilson (CHF) 05/08/2014 16:52];15/09/2014;CHF;AGE;05/08/2014 14:40;3;;O;;
2359657;ALUXG-0UG5;01/08/2014 00:00;LIG;NOR;;527;COSR-NE 39834/2014;;[Consistido edmilson (CHF) 05/08/2014 16:52];15/09/2014;CHF;AGE;05/08/2014 14:40;3;;O;;
2366720;ALUXG-0UG5;15/08/2014 09:19;DCO;NOR;;527;COSR-NE 41446/2014;;[Consistido edmilson (CHF) 20/08/2014 18:08];15/09/2014;CHF;AGE;19/08/2014 13:10;2;;O;;
2366721;ALUXG-0UG5;15/08/2014 15:58;LIG;NOR;;527;COSR-NE 41447/2014;;[Consistido edmilson (CHF) 20/08/2014 18:08];15/09/2014;CHF;AGE;19/08/2014 13:10;2;;O;;
2370531;ALUXG-0UG5;22/08/2014 05:04;DPR;;GOT;0;COSR-NE 42266/2014;Retirar relés curinga e instalar as proteções definitivas SEL 421 digital associadas ao link 05G5 UXG/XGO retrofit.  SI-25074/14.;[Consistido edmilson (CHF) 27/08/2014 10:51];15/09/2014;CHF;AGE;26/08/2014 11:16;2;;O;;
2370532;ALUXG-0UG5;22/08/2014 13:39;LIG;NOR;;527;COSR-NE 42267/2014;;[Consistido edmilson (CHF) 27/08/2014 10:51];15/09/2014;CHF;AGE;26/08/2014 11:16;2;;O;;
2359658;ALUXG-0UG6;01/08/2014 00:00;LIG;NOR;;527;COSR-NE 39835/2014;;[Consistido edmilson (CHF) 05/08/2014 16:52];15/09/2014;CHF;AGE;05/08/2014 14:40;3;;O;;
2372727;ALUXG-0UG6;28/08/2014 08:27;DPR;;GGE;0;COSR-NE 42881/2014;Efetuar a manutenção preventiva na medição do desgaste da dimensão radial das escovas.  SI-28984/14.;[Consistido edmilson (CHF) 03/09/2014 09:17];15/09/2014;CHF;AGE;29/08/2014 13:28;2;;O;;
2372728;ALUXG-0UG6;28/08/2014 20:27;DCO;TST;;527;COSR-NE 42882/2014;;[Consistido edmilson (CHF) 03/09/2014 09:17];15/09/2014;CHF;AGE;29/08/2014 13:28;2;;O;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
