usi_id;ano_apur;mes_apur;val_teifames;val_teipmes;val_teifaacum;val_teipacum;val_teifacum;val_teifmes;flg_usibtx;val_teifamesajus;val_teipmesajus;val_teifaacumajus;val_teipacumajus;val_teifamesfc;val_teipmesfc;val_teifaacumfc;val_teipacumfc;val_teipacumfc;flg_parcleilao;val_numteifames;val_denteifames;val_numteipmes;val_denteipmes;val_numteifamesfc;val_denteifamesfc;val_numteipmesfc;val_denteipmesfc
ALUXG;2000;1;0;0,00229988;0;0;0;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2000;2;0;0,006409643;0;0;0;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2000;3;0;0,001982527;0;0;0;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2000;4;7,33E-05;0,127924398;0;0;0;8,46E-05;N;;;;;;;;;;;;;;;;;;
ALUXG;2000;5;0;0,008310932;0;0;0;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2000;6;0;0,00248071;0;0;0;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2000;7;0;0;0;0;0;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2000;8;0;0,001601703;0;0;0;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2000;9;0;0,003977624;0;0;0;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2000;10;0;0,003864247;0;0;0;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2000;11;0;0;0;0;0;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2000;12;0;0,002180406;0;0;0;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2001;1;0;0,002494026;0,04700122;0,065392099;0,04700141;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2001;2;0;0,001078869;0,046001218;0,064076737;0,046001408;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2001;3;0;0,002277479;0,04500122;0,062781371;0,04500141;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2001;4;0;0,002268519;0,044001222;0,061485849;0,044001412;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2001;5;0,002072133;0;0,043035761;0,06015252;0,043050829;0,002964934;N;;;;;;;;;;;;;;;;;;
ALUXG;2001;6;0;0,001720679;0,042035759;0,05884786;0,042050831;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2001;7;0,000377644;0,0115106;0,041042049;0,057706371;0,041070201;0,001162622;N;;;;;;;;;;;;;;;;;;
ALUXG;2001;8;0,001129892;0,001448626;0,040060882;0,056397181;0,040089671;0,001167897;N;;;;;;;;;;;;;;;;;;
ALUXG;2001;9;0;0,114482999;0,03906088;0,0569719;0,039089669;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2001;10;0,000903525;0,060846031;0,038075939;0,056652669;0,03810579;0,000967435;N;;;;;;;;;;;;;;;;;;
ALUXG;2001;11;0,000135031;0;0,037078191;0,055319332;0,037108898;0,000186505;N;;;;;;;;;;;;;;;;;;
ALUXG;2001;12;0;0,005305406;0,036078189;0,054074422;0,0361089;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2002;1;0;0;0,03507819;0,052741092;0,035108902;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2002;2;0,009173201;0,004890046;0,034231082;0,05148926;0,03701843;0,1745722;N;;;;;;;;;;;;;;;;;;
ALUXG;2002;3;0,01037909;0,04768892;0,03340406;0,05095074;0,036274169;0,015344231;N;;;;;;;;;;;;;;;;;;
ALUXG;2002;4;0;0,004571759;0,032404061;0,049693599;0,03527417;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2002;5;6,84E-05;0,01112978;0,031405199;0,04854577;0,034276672;0,000149954;N;;;;;;;;;;;;;;;;;;
ALUXG;2002;6;0;0,002388117;0,030405199;0,04725223;0,03327667;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2002;7;0;0,001960125;0,029405201;0,04595156;0,032276671;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2002;8;0;0;0,028405201;0,04461823;0,031276669;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2002;9;0,02706404;0,042989969;0,02785627;0,044001401;0,03100469;0,04368104;N;;;;;;;;;;;;;;;;;;
ALUXG;2002;10;0;0,000220281;0,02685627;0,04267174;0,03000469;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2002;11;0;0,004371142;0,02585627;0,041411258;0,029004689;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2002;12;0;0,003207139;0,024856269;0,040131379;0,028004689;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2003;1;0;0;0,023856269;0,038798042;0,027004691;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2003;2;0;0,00181465;0,022856271;0,03749495;0,026004691;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2003;3;0;0,002490293;0,021856271;0,036203131;0,025004691;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2003;4;0;0,005034722;0,020856271;0,03495371;0,02400469;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2003;5;0;0,007590353;0,01985627;0,03374688;0,02300469;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2003;6;0,016952161;0,002102623;0,019138809;0,03244859;0,02248149;0,02860789;N;;;;;;;;;;;;;;;;;;
ALUXG;2003;7;0;0,003602897;0,018138809;0,031175301;0,02148149;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2003;8;0,000173627;0,084092692;0,0171417;0,031243511;0,02048438;0,000173627;N;;;;;;;;;;;;;;;;;;
ALUXG;2003;9;0;0,129020095;0,0161417;0,032060511;0,01948438;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2003;10;0;0,003834974;0,0151417;0,0307911;0,01848438;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2003;11;0;0,070509248;0,0141417;0,030632909;0,01748438;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2003;12;0,000440928;0,008908303;0,01314905;0,02944806;0,016501119;0,001004016;N;;;;;;;;;;;;;;;;;;
ALUXG;2004;1;0,0120445;0,001877987;0,01234979;0,028146019;0,01577122;0,016206009;N;;;;;;;;;;;;;;;;;;
ALUXG;2004;2;0;0;0,01134979;0,026812689;0,01477121;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2004;3;0;0,089661732;0,01034979;0,026973721;0,01377122;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2004;4;0;0,009015896;0,009349791;0,02579065;0,01277122;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2004;5;0;0,003022246;0,008349791;0,024507681;0,01177122;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2004;6;0;0,01221451;0,007349791;0,023377931;0,01077122;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2004;7;0;0,101426199;0,006349791;0,02373503;0,009771216;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2004;8;0,0102618;0,000246416;0,005520822;0,022405811;0,008948494;0,01063668;N;;;;;;;;;;;;;;;;;;
ALUXG;2004;9;0,001624228;0,020435959;0,004547892;0,021413069;0,007975655;0,001629658;N;;;;;;;;;;;;;;;;;;
ALUXG;2004;10;0,001332285;0,01145833;0,003570097;0,020270711;0,006997958;0,001338145;N;;;;;;;;;;;;;;;;;;
ALUXG;2004;11;0;0,00183642;0,002570097;0,01896799;0,005997958;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2004;12;0;0,008411051;0,001570097;0,017774841;0,004997958;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2005;1;0;0,003685036;0,001570097;0,017797921;0,004997958;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2005;2;0;0,059614752;0,001570097;0,01868467;0,004997958;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2005;3;0;0,0419841;0,001570097;0,019351371;0,004997958;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2005;4;0;0,022426469;0,001568875;0,017593071;0,004996547;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2005;5;0;0,093681566;0,001568875;0,01901591;0,004996547;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2005;6;0;0,001130401;0,001568875;0,018993409;0,004996547;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2005;7;0;0,001146207;0,001568875;0,019012511;0,004996547;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2005;8;0;0,001590502;0,001568875;0,019012321;0,004996547;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2005;9;0;0,003491512;0,001568875;0,01900422;0,004996547;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2005;10;0,003450237;0,007285036;0,001626379;0,019061239;0,00505412;0,003454348;N;;;;;;;;;;;;;;;;;;
ALUXG;2005;11;0;0;0,001626379;0,019061239;0,00505412;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2005;12;0,00802864;0,007687425;0,00176019;0,019153019;0,005189287;0,008110072;N;;;;;;;;;;;;;;;;;;
ALUXG;2006;1;0,01308617;0,004136798;0,001978293;0,0191804;0,005412103;0,01336888;N;;;;;;;;;;;;;;;;;;
ALUXG;2006;2;0;0,000822586;0,001978293;0,019176129;0,005412103;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2006;3;0;0,00176598;0,001978293;0,0191676;0,005412103;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2006;4;0;0,02933256;0,001978293;0,01961867;0,005412103;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2006;5;0;0,01467667;0,001943757;0,01986328;0,005362687;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2006;6;0;0,006666667;0,001943757;0,019945711;0,005362687;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2006;7;0,001220878;0;0,001957811;0,01975387;0,005363713;0,001224251;N;;;;;;;;;;;;;;;;;;
ALUXG;2006;8;0;0;0,001938979;0,01972973;0,005344249;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2006;9;0;0,002322531;0,001938979;0,017860379;0,005344249;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2006;10;0;0,006619623;0,001923921;0,016956611;0,005328125;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2006;11;0;0;0,00192167;0,016956611;0,005325017;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2006;12;0;0,002169206;0,00192167;0,016904339;0,005325017;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2007;1;0;0,00489098;0,00192167;0,01698586;0,005325017;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2007;2;0,000335788;0,002670304;0,00177438;0,01694886;0,002421142;0,000339717;N;;;;;;;;;;;;;;;;;;
ALUXG;2007;3;0;0,103322901;0,001601395;0,017876091;0,002165405;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2007;4;0,000412809;0,00337963;0,001608275;0,01785622;0,002172432;0,000421632;N;;;;;;;;;;;;;;;;;;
ALUXG;2007;5;0;0,001758513;0,001607135;0,017700041;0,002169933;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2007;6;0,005425959;0,001743827;0,001697568;0,017689301;0,002260854;0,005455264;N;;;;;;;;;;;;;;;;;;
ALUXG;2007;7;0;0,001967593;0,001697568;0,01768942;0,002260854;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2007;8;0;0,008258662;0,001697568;0,017827069;0,002260854;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2007;9;0;0,002172068;0,0012465;0,01714677;0,001532837;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2007;10;0;0,000952061;0,0012465;0,017158961;0,001532837;0;N;;;;;;;;;;;;;;;;;;
