desger_id;uge_id;dtini_verif;tpestoper_id;panocr_id;ogresdes_id;valdisp;numons;coment;cmn_agente;dat_ultimaconsolidacao;age_id;etval_id;din_disponevento;flg_eventoconsistido;dtini_prog;flcmop;reg_id;usi_id
2376131;ALUXG-0UG1;01/09/2014 00:00;LIG;NOR;;527;COSR-NE 43354/2014;;[Consistido edmilson (CHF) 04/09/2014 18:29];15/10/2014;CHF;AGE;03/09/2014 16:29;3;;O;;
2383553;ALUXG-0UG1;17/09/2014 08:12;DPR;;GGE;0;COSR-NE 44774/2014;Manutenção preventiva na medição do desgaste da dimensão radial das escovas, verificação da pressão das molas, inverter a polaridade.  SI-31665/14.;[Consistido edmilson (CHF) 22/09/2014 10:41];15/10/2014;CHF;AGE;18/09/2014 14:55;2;;O;;
2383554;ALUXG-0UG1;17/09/2014 22:41;DCO;TST;;527;COSR-NE 44775/2014;;[Consistido edmilson (CHF) 22/09/2014 10:41];15/10/2014;CHF;AGE;18/09/2014 14:55;2;;O;;
2384785;ALUXG-0UG1;19/09/2014 10:59;LIG;TST;;527;COSR-NE 44926/2014;;[Consistido edmilson (CHF) 23/09/2014 15:34];15/10/2014;CHF;AGE;22/09/2014 15:47;2;;O;;
2384786;ALUXG-0UG1;19/09/2014 11:25;LIG;NOT;;527;COSR-NE 44927/2014;;[Consistido edmilson (CHF) 23/09/2014 15:34];15/10/2014;CHF;AGE;22/09/2014 15:47;2;;O;;
2384787;ALUXG-0UG1;19/09/2014 15:25;LIG;NOR;;527;COSR-NE 44928/2014;;[Consistido edmilson (CHF) 23/09/2014 15:34];15/10/2014;CHF;AGE;22/09/2014 15:47;2;;O;;
2384788;ALUXG-0UG1;20/09/2014 10:33;DCO;NOR;;527;COSR-NE 44958/2014;;[Consistido edmilson (CHF) 23/09/2014 15:34];15/10/2014;CHF;AGE;22/09/2014 15:47;2;;O;;
2387002;ALUXG-0UG1;24/09/2014 08:20;DPR;;GGE;0;COSR-NE 45199/2014;Corrigir esquema de sincronismo do 15G1/XGO via relé 25.  SI-35298/14.;[Consistido edmilson (CHF) 26/09/2014 11:54];15/10/2014;CHF;AGE;25/09/2014 15:19;2;;O;;
2387003;ALUXG-0UG1;24/09/2014 11:43;LIG;NOR;;527;COSR-NE 45200/2014;;[Consistido edmilson (CHF) 26/09/2014 11:54];15/10/2014;CHF;AGE;25/09/2014 15:19;2;;O;;
2376132;ALUXG-0UG2;01/09/2014 00:00;DAU;;GUM;0;COSR-NE 43355/2014;;[Consistido edmilson (CHF) 04/09/2014 18:32];15/10/2014;CHF;AGE;03/09/2014 16:29;3;;O;;
2376133;ALUXG-0UG3;01/09/2014 00:00;LIG;NOR;;527;COSR-NE 43356/2014;;[Consistido edmilson (CHF) 04/09/2014 18:32];15/10/2014;CHF;AGE;03/09/2014 16:29;3;;O;;
2376134;ALUXG-0UG4;01/09/2014 00:00;DCO;NOR;;527;COSR-NE 43357/2014;;[Consistido edmilson (CHF) 04/09/2014 18:32];15/10/2014;CHF;AGE;03/09/2014 16:29;3;;O;;
2383555;ALUXG-0UG4;17/09/2014 07:55;LIG;NOR;;527;COSR-NE 44776/2014;;[Consistido edmilson (CHF) 22/09/2014 10:43];15/10/2014;CHF;AGE;18/09/2014 14:55;2;;O;;
2383556;ALUXG-0UG4;17/09/2014 17:26;DAU;;GGE;0;COSR-NE 44777/2014;Atuou Estator à terra.;[Consistido edmilson (CHF) 22/09/2014 10:43];15/10/2014;CHF;AGE;18/09/2014 14:55;2;;O;;
2384115;ALUXG-0UG4;18/09/2014 01:05;DCO;TST;;527;COSR-NE 44841/2014;;[Consistido edmilson (CHF) 22/09/2014 10:43];15/10/2014;CHF;AGE;19/09/2014 14:37;2;;O;;
2384789;ALUXG-0UG4;20/09/2014 10:21;LIG;TST;;527;COSR-NE 44959/2014;;[Consistido edmilson (CHF) 23/09/2014 15:35];15/10/2014;CHF;AGE;22/09/2014 15:47;2;;O;;
2384790;ALUXG-0UG4;20/09/2014 10:40;LIG;NOT;;527;COSR-NE 44960/2014;;[Consistido edmilson (CHF) 23/09/2014 15:35];15/10/2014;CHF;AGE;22/09/2014 15:47;2;;O;;
2384791;ALUXG-0UG4;20/09/2014 14:40;LIG;NOR;;527;COSR-NE 44961/2014;;[Consistido edmilson (CHF) 23/09/2014 15:35];15/10/2014;CHF;AGE;22/09/2014 15:47;2;;O;;
2376135;ALUXG-0UG5;01/09/2014 00:00;LIG;NOR;;527;COSR-NE 43358/2014;;[Consistido edmilson (CHF) 04/09/2014 18:32];15/10/2014;CHF;AGE;03/09/2014 16:29;3;;O;;
2387004;ALUXG-0UG5;24/09/2014 12:09;DCO;NOR;;527;COSR-NE 45201/2014;;[Consistido edmilson (CHF) 26/09/2014 11:54];15/10/2014;CHF;AGE;25/09/2014 15:19;2;;O;;
2376136;ALUXG-0UG6;01/09/2014 00:00;DCO;TST;;527;COSR-NE 43359/2014;;[Consistido edmilson (CHF) 04/09/2014 18:32];15/10/2014;CHF;AGE;03/09/2014 16:29;3;;O;;
2381663;ALUXG-0UG6;13/09/2014 08:08;DEM;;GUM;0;COSR-NE 44458/2014;;[Consistido edmilson (CHF) 16/09/2014 16:45];15/10/2014;CHF;AGE;15/09/2014 14:02;2;;O;;
2381664;ALUXG-0UG6;13/09/2014 11:54;DCO;TST;;527;COSR-NE 44459/2014;;[Consistido edmilson (CHF) 16/09/2014 16:45];15/10/2014;CHF;AGE;15/09/2014 14:02;2;;O;;
2383557;ALUXG-0UG6;17/09/2014 07:09;LIG;RFO;GUM;32;COSR-NE 44778/2014;;[Consistido edmilson (CHF) 22/09/2014 10:47];15/10/2014;CHF;AGE;18/09/2014 14:55;2;;O;;
2383558;ALUXG-0UG6;17/09/2014 07:31;DEM;;GTR;0;COSR-NE 44779/2014;Problema na ventilação forçada do transfomador 01T6.  SI-37114/14.;[Consistido edmilson (CHF) 22/09/2014 10:47];15/10/2014;CHF;AGE;18/09/2014 14:55;2;;O;;
2383559;ALUXG-0UG6;17/09/2014 11:42;DCO;TST;;527;COSR-NE 44780/2014;;[Consistido edmilson (CHF) 22/09/2014 10:47];15/10/2014;CHF;AGE;18/09/2014 14:55;2;;O;;
2383560;ALUXG-0UG6;17/09/2014 17:46;LIG;RFO;GUM;420;COSR-NE 44781/2014;;[Consistido edmilson (CHF) 22/09/2014 10:47];15/10/2014;CHF;AGE;18/09/2014 14:55;2;;O;;
2383561;ALUXG-0UG6;17/09/2014 23:00;LIG;NOT;;527;COSR-NE 44782/2014;;[Consistido edmilson (CHF) 22/09/2014 10:47];15/10/2014;CHF;AGE;18/09/2014 14:55;2;;O;;
2384116;ALUXG-0UG6;18/09/2014 03:00;LIG;NOR;;527;COSR-NE 44842/2014;;[Consistido edmilson (CHF) 22/09/2014 10:47];15/10/2014;CHF;AGE;19/09/2014 14:37;2;;O;;
2384792;ALUXG-0UG6;19/09/2014 11:22;DCO;NOR;;527;COSR-NE 44929/2014;;[Consistido edmilson (CHF) 23/09/2014 15:35];15/10/2014;CHF;AGE;22/09/2014 15:47;2;;O;;
