desger_id;uge_id;dtini_verif;tpestoper_id;panocr_id;ogresdes_id;valdisp
2226109;ALUXG-0UG3;05/01/2014 19:27;LIG;NOR;;527
2226110;ALUXG-0UG3;05/01/2014 22:39;DCO;NOR;;527
2234588;ALUXG-0UG3;17/01/2014 14:26;LIG;NOR;;527
2234589;ALUXG-0UG3;17/01/2014 18:30;DCO;NOR;;527
2237804;ALUXG-0UG3;23/01/2014 13:00;LIG;NOR;;527
2238517;ALUXG-0UG3;24/01/2014 00:30;DCO;NOR;;527
2240883;ALUXG-0UG3;29/01/2014 14:23;LIG;NOR;;527
2240884;ALUXG-0UG3;29/01/2014 16:13;DCO;NOR;;527
2243066;ALUXG-0UG3;31/01/2014 12:49;LIG;NOR;;527
2243615;ALUXG-0UG3;01/02/2014 00:00;LIG;NOR;;527
2257619;ALUXG-0UG3;26/02/2014 14:27;DCO;NOR;;527
2261248;ALUXG-0UG3;28/02/2014 01:18;LIG;NOR;;527
2261553;ALUXG-0UG3;01/03/2014 00:00;LIG;NOR;;527
2270686;ALUXG-0UG3;23/03/2014 14:08;DCO;NOR;;527
2276209;ALUXG-0UG3;01/04/2014 00:00;DCO;NOR;;527
2281269;ALUXG-0UG3;08/04/2014 11:21;LIG;NOR;;527
2295542;ALUXG-0UG3;08/04/2014 23:34;DCO;NOR;;527
2295543;ALUXG-0UG3;16/04/2014 09:50;LIG;NOR;;527
2293196;ALUXG-0UG3;01/05/2014 00:00;LIG;NOR;;527
2300003;ALUXG-0UG3;09/05/2014 05:19;DPR;;GAC;0
2301593;ALUXG-0UG3;13/05/2014 09:34;DCO;NOR;;527
2311779;ALUXG-0UG3;28/05/2014 03:58;LIG;NOR;;527
2313215;ALUXG-0UG3;01/06/2014 00:00;LIG;NOR;;527
2316595;ALUXG-0UG3;03/06/2014 05:20;DPR;;GOT;0
2337124;ALUXG-0UG3;03/06/2014 14:25;DCO;NOR;;527
2338237;ALUXG-0UG3;01/07/2014 00:00;DCO;NOR;;527
2338238;ALUXG-0UG3;03/07/2014 17:46;LIG;NOR;;527
2349221;ALUXG-0UG3;20/07/2014 00:17;DCO;NOR;;527
2350320;ALUXG-0UG3;21/07/2014 07:46;DPR;;GUM;0
2359655;ALUXG-0UG3;01/08/2014 00:00;DPR;;GUM;0
2366716;ALUXG-0UG3;15/08/2014 10:58;LIG;TST;;527
2366717;ALUXG-0UG3;15/08/2014 11:03;LIG;NOT;;527
2366718;ALUXG-0UG3;15/08/2014 15:03;LIG;NOR;;527
2366719;ALUXG-0UG3;15/08/2014 16:14;DCO;NOR;;527
2367090;ALUXG-0UG3;18/08/2014 09:28;LIG;NOR;;527
2370530;ALUXG-0UG3;22/08/2014 13:54;DCO;NOR;;527
2371488;ALUXG-0UG3;26/08/2014 09:24;LIG;NOR;;527
2376133;ALUXG-0UG3;01/09/2014 00:00;LIG;NOR;;527
2392233;ALUXG-0UG3;01/10/2014 00:00;LIG;NOR;;527
2407664;ALUXG-0UG3;01/11/2014 00:00;LIG;NOR;;527
2427965;ALUXG-0UG3;01/12/2014 00:00;LIG;NOR;;527
2429789;ALUXG-0UG3;03/12/2014 10:32;DPR;;GIM;0
2429790;ALUXG-0UG3;03/12/2014 12:00;LIG;NOR;;527
2429791;ALUXG-0UG3;03/12/2014 12:53;DCO;NOR;;527
2438738;ALUXG-0UG3;18/12/2014 11:33;LIG;NOR;;527
2448004;ALUXG-0UG3;01/01/2015 00:00;LIG;NOR;;527
2463874;ALUXG-0UG3;01/02/2015 00:00;LIG;NOR;;527
2480360;ALUXG-0UG3;01/03/2015 00:00;LIG;NOR;;527
2487613;ALUXG-0UG3;11/03/2015 12:09;DEM;;GTR;0
2487614;ALUXG-0UG3;11/03/2015 16:53;DCO;NOR;;527
2490222;ALUXG-0UG3;16/03/2015 13:00;LIG;NOR;;527
2502014;ALUXG-0UG3;01/04/2015 00:00;LIG;NOR;;527
2519292;ALUXG-0UG3;01/05/2015 00:00;LIG;NOR;;527
2539887;ALUXG-0UG3;01/06/2015 00:00;LIG;NOR;;527
2558536;ALUXG-0UG3;01/07/2015 00:00;LIG;NOR;;527
2579829;ALUXG-0UG3;01/08/2015 00:00;LIG;NOR;;527
2600318;ALUXG-0UG3;01/09/2015 00:00;LIG;NOR;;527
2616171;ALUXG-0UG3;01/10/2015 00:00;LIG;NOR;;527
2622944;ALUXG-0UG3;13/10/2015 15:45;DCO;NOR;;527
2623509;ALUXG-0UG3;14/10/2015 05:25;LIG;NOR;;527
2623510;ALUXG-0UG3;14/10/2015 15:18;DCO;NOR;;527
2624985;ALUXG-0UG3;16/10/2015 11:23;LIG;NOR;;527
2626020;ALUXG-0UG3;19/10/2015 07:18;DPR;;GTR;0
2626021;ALUXG-0UG3;19/10/2015 13:12;DCO;NOR;;527
2626507;ALUXG-0UG3;20/10/2015 23:29;LIG;NOR;;527
2632405;ALUXG-0UG3;31/10/2015 21:27;DCO;NOR;;527
2634754;ALUXG-0UG3;01/11/2015 00:00;DCO;NOR;;527
2637826;ALUXG-0UG3;04/11/2015 10:08;LIG;NOR;;527
2637827;ALUXG-0UG3;08/11/2015 16:56;DCO;NOR;;527
2647675;ALUXG-0UG3;23/11/2015 14:34;LIG;NOR;;527
2647676;ALUXG-0UG3;23/11/2015 18:07;DCO;NOR;;527
2649623;ALUXG-0UG3;26/11/2015 14:43;LIG;NOR;;527
2650085;ALUXG-0UG3;27/11/2015 01:10;DCO;NOR;;527
2651420;ALUXG-0UG3;01/12/2015 00:00;DCO;NOR;;527
2659955;ALUXG-0UG3;11/12/2015 07:32;LIG;NOR;;527
2659956;ALUXG-0UG3;11/12/2015 14:44;DCO;NOR;;527
2665405;ALUXG-0UG3;21/12/2015 09:10;DPR;;GGE;0
2665406;ALUXG-0UG3;21/12/2015 17:46;DCO;NOR;;527
2670268;ALUXG-0UG3;01/01/2016 00:00;DCO;NOR;;527
2676607;ALUXG-0UG3;08/01/2016 08:58;LIG;NOR;;527
2676615;ALUXG-0UG3;09/01/2016 16:22;DCO;NOR;;527
2684179;ALUXG-0UG3;22/01/2016 07:22;LIG;NOR;;527
2684190;ALUXG-0UG3;23/01/2016 01:21;DCO;NOR;;527
2688807;ALUXG-0UG3;29/01/2016 00:03;LIG;NOR;;527
2688818;ALUXG-0UG3;30/01/2016 11:19;DCO;NOR;;527
2688095;ALUXG-0UG3;01/02/2016 00:00;DCO;NOR;;527
2695589;ALUXG-0UG3;12/02/2016 14:51;LIG;NOR;;527
2695590;ALUXG-0UG3;12/02/2016 23:19;DCO;NOR;;527
2695591;ALUXG-0UG3;13/02/2016 21:07;LIG;NOR;;527
2695592;ALUXG-0UG3;14/02/2016 00:11;DCO;NOR;;527
2705049;ALUXG-0UG3;01/03/2016 00:00;DCO;NOR;;527
2706775;ALUXG-0UG3;02/03/2016 08:32;LIG;NOR;;527
2706776;ALUXG-0UG3;02/03/2016 16:14;DAU;;GTR;0
2708031;ALUXG-0UG3;05/03/2016 15:48;DCO;TST;;527
2708032;ALUXG-0UG3;05/03/2016 16:05;LIG;TST;;527
2708033;ALUXG-0UG3;05/03/2016 16:32;LIG;NOT;;527
2708034;ALUXG-0UG3;05/03/2016 20:46;LIG;NOR;;527
2709558;ALUXG-0UG3;07/03/2016 23:26;DCO;NOR;;527
2709559;ALUXG-0UG3;07/03/2016 23:43;DPR;;GIM;0
2712112;ALUXG-0UG3;08/03/2016 03:58;DCO;NOR;;527
2712010;ALUXG-0UG3;11/03/2016 08:53;LIG;NOR;;527
2712011;ALUXG-0UG3;11/03/2016 10:52;DCO;NOR;;527
2723247;ALUXG-0UG3;01/04/2016 00:00;DCO;NOR;;527
2736119;ALUXG-0UG3;25/04/2016 08:24;LIG;NOR;;527
2738468;ALUXG-0UG3;01/05/2016 00:00;LIG;NOR;;527
2750163;ALUXG-0UG3;20/05/2016 17:32;DCO;NOR;;527
2755657;ALUXG-0UG3;01/06/2016 00:00;DCO;NOR;;527
2771947;ALUXG-0UG3;01/07/2016 00:00;DCO;NOR;;527
2775929;ALUXG-0UG3;08/07/2016 13:25;LIG;NOR;;527
2775930;ALUXG-0UG3;08/07/2016 14:44;DCO;NOR;;527
2785151;ALUXG-0UG3;01/08/2016 00:00;DCO;NOR;;527
2800611;ALUXG-0UG3;30/08/2016 13:25;LIG;NOR;;527
2800612;ALUXG-0UG3;30/08/2016 13:27;DCO;NOR;;527
2802770;ALUXG-0UG3;31/08/2016 14:08;LIG;NOR;;527
2802771;ALUXG-0UG3;31/08/2016 18:55;DCO;NOR;;527
2801960;ALUXG-0UG3;01/09/2016 00:00;DCO;NOR;;527
2803702;ALUXG-0UG3;02/09/2016 13:03;LIG;NOR;;527
2803703;ALUXG-0UG3;02/09/2016 17:08;DCO;NOR;;527
2810324;ALUXG-0UG3;18/09/2016 13:14;LIG;NOR;;527
2810325;ALUXG-0UG3;18/09/2016 17:10;DCO;NOR;;527
2811422;ALUXG-0UG3;19/09/2016 12:56;LIG;NOR;;527
2811423;ALUXG-0UG3;19/09/2016 17:46;DCO;NOR;;527
2812288;ALUXG-0UG3;20/09/2016 13:07;LIG;NOR;;527
2812289;ALUXG-0UG3;20/09/2016 17:41;DCO;NOR;;527
2812886;ALUXG-0UG3;21/09/2016 13:14;LIG;NOR;;527
2812887;ALUXG-0UG3;21/09/2016 16:58;DCO;NOR;;527
2813499;ALUXG-0UG3;22/09/2016 13:04;LIG;NOR;;527
2813500;ALUXG-0UG3;22/09/2016 16:57;DCO;NOR;;527
2814126;ALUXG-0UG3;23/09/2016 13:13;LIG;NOR;;527
2814127;ALUXG-0UG3;23/09/2016 17:13;DCO;NOR;;527
2814128;ALUXG-0UG3;24/09/2016 13:42;LIG;NOR;;527
